runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260514_145139,1,2,2,EA,888.00,20,44.38,15.21,131.60,16.63,27.75,0.00,20,4,1031
20260514_145139,2,0,0,SSP,510.50,20,47.06,15.97,86.50,16.73,30.33,0.00,20,4,1031
20260514_145139,2,1,1,EV,462.00,20,44.24,15.24,87.03,16.32,27.93,0.00,20,4,1031
20260514_145139,2,2,2,EA,467.50,20,44.21,17.00,94.71,18.16,26.05,0.00,20,4,1031
20260514_145139,3,0,0,SSP,339.50,20,48.63,4.12,107.29,16.83,31.80,0.00,20,4,1031
20260514_145139,3,1,1,EV,334.00,20,44.42,5.82,77.45,15.90,28.52,0.00,20,4,1031
20260514_145139,3,2,2,EA,334.50,20,43.64,4.97,88.28,16.12,27.52,0.00,20,4,1031
20260514_145139,4,0,0,SSP,294.50,20,46.66,5.39,85.48,17.19,29.47,0.00,20,4,1031
20260514_145139,4,1,1,EV,247.50,20,43.29,5.82,83.97,16.69,26.61,0.00,20,4,1031
20260514_145139,4,2,2,EA,248.00,20,40.68,5.82,86.24,15.00,25.68,0.00,20,4,1031
20260514_145139,5,0,0,SSP,248.50,20,51.19,4.97,116.78,19.21,31.98,0.00,20,4,1031
20260514_145139,5,1,1,EV,210.00,20,45.31,5.39,89.22,17.75,27.55,0.00,20,4,1031
20260514_145139,5,2,2,EA,202.00,20,42.24,12.83,75.09,15.90,26.34,0.00,20,4,1031
20260514_145139,6,0,0,SSP,231.00,20,47.55,4.54,107.93,16.83,30.72,0.00,20,4,1031
20260514_145139,6,1,1,EV,176.00,20,43.66,4.12,83.23,18.08,25.59,0.00,20,4,1031
20260514_145139,6,2,2,EA,186.00,20,41.51,15.47,86.36,15.41,26.10,0.00,20,4,1031
20260514_145139,7,0,0,SSP,168.00,20,46.04,6.67,82.79,15.03,31.00,0.00,20,4,1031
20260514_145139,7,1,1,EV,189.00,20,43.58,4.97,99.90,16.26,27.32,0.00,20,4,1031
20260514_145139,7,2,2,EA,154.50,20,42.95,10.01,67.21,15.20,27.75,0.00,20,4,1031
20260514_145139,8,0,0,SSP,181.50,20,49.34,4.97,109.53,17.81,31.53,0.00,20,4,1031
20260514_145139,8,1,1,EV,147.50,20,43.12,4.54,82.29,16.03,27.09,0.00,20,4,1031
20260514_145139,8,2,2,EA,146.50,20,44.15,19.68,76.50,16.42,27.74,0.00,20,4,1031
20260514_145139,9,0,0,SSP,166.50,20,46.35,5.82,111.25,15.81,30.54,0.00,20,4,1031
20260514_145139,9,1,1,EV,152.00,20,42.90,4.54,86.68,17.33,25.57,0.00,20,4,1031
20260514_145139,9,2,2,EA,133.00,20,41.53,11.53,66.75,14.21,27.32,0.00,20,4,1031
20260514_145139,10,0,0,SSP,131.50,20,47.87,8.60,77.02,16.61,31.26,0.00,20,4,1031
20260514_145139,10,1,1,EV,135.00,20,43.48,11.70,79.77,16.32,27.16,0.00,20,4,1031
20260514_145139,10,2,2,EA,130.50,20,40.77,8.70,82.35,15.46,25.32,0.00,20,4,1031
20260514_145139,1,0,0,SSP,1165.00,20,58.23,24.34,119.26,20.13,38.11,0.00,20,5,1031
20260514_145139,1,1,1,EV,1129.00,20,56.45,24.35,121.58,21.01,35.44,0.00,20,5,1031
20260514_145139,1,2,2,EA,1074.00,20,53.69,24.68,153.13,21.25,32.44,0.00,20,5,1031
20260514_145139,2,0,0,SSP,647.00,20,60.91,20.89,107.96,21.74,39.17,0.00,20,5,1031
