runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260513_011003,4,2,2,EA,94.50,20,15.36,1.52,32.35,5.43,9.93,0.00,20,1,17
20260513_011003,5,0,0,SSP,72.00,20,15.98,6.79,26.57,5.74,10.24,0.00,20,1,17
20260513_011003,5,1,1,EV,69.00,20,15.54,6.54,23.82,5.57,9.97,0.00,20,1,17
20260513_011003,5,2,2,EA,77.00,20,15.33,1.52,33.42,5.65,9.69,0.00,20,1,17
20260513_011003,6,0,0,SSP,66.50,20,16.32,6.54,26.73,6.14,10.18,0.00,20,1,17
20260513_011003,6,1,1,EV,60.50,20,15.95,6.54,28.53,5.86,10.09,0.00,20,1,17
20260513_011003,6,2,2,EA,69.00,20,15.89,3.41,33.81,5.90,9.99,0.00,20,1,17
20260513_011003,7,0,0,SSP,54.50,20,16.03,6.54,25.94,5.70,10.33,0.00,20,1,17
20260513_011003,7,1,1,EV,52.00,20,15.61,6.54,27.63,5.60,10.02,0.00,20,1,17
20260513_011003,7,2,2,EA,58.00,20,15.07,3.03,29.97,4.66,10.40,0.00,20,1,17
20260513_011003,8,0,0,SSP,51.00,20,15.68,5.91,29.12,5.16,10.52,0.00,20,1,17
20260513_011003,8,1,1,EV,48.00,20,15.16,3.62,26.72,5.10,10.06,0.00,20,1,17
20260513_011003,8,2,2,EA,60.00,20,15.84,4.79,34.21,5.90,9.94,0.00,20,1,17
20260513_011003,9,0,0,SSP,47.00,20,15.64,3.87,27.44,5.20,10.44,0.00,20,1,17
20260513_011003,9,1,1,EV,48.00,20,15.22,3.62,29.30,5.01,10.21,0.00,20,1,17
20260513_011003,9,2,2,EA,58.00,20,15.90,3.49,33.91,5.80,10.11,0.00,20,1,17
20260513_011003,10,0,0,SSP,49.00,20,16.01,6.99,27.65,5.69,10.32,0.00,20,1,17
20260513_011003,10,1,1,EV,44.50,20,14.81,6.54,27.92,5.01,9.80,0.00,20,1,17
20260513_011003,10,2,2,EA,50.00,20,15.33,1.28,34.28,5.70,9.64,0.00,20,1,17
20260513_011003,1,0,0,SSP,617.00,20,30.83,7.52,57.89,10.71,20.12,0.00,20,2,17
20260513_011003,1,1,1,EV,526.00,20,26.29,7.17,48.10,10.52,15.77,0.00,20,2,17
20260513_011003,1,2,2,EA,500.50,20,25.01,7.19,61.57,9.60,15.42,0.00,20,2,17
20260513_011003,2,0,0,SSP,314.50,20,28.24,5.32,77.47,11.58,16.65,0.00,20,2,17
20260513_011003,2,1,1,EV,281.50,20,26.08,7.46,50.61,10.68,15.40,0.00,20,2,17
20260513_011003,2,2,2,EA,261.50,20,24.68,6.22,48.54,9.24,15.44,0.00,20,2,17
20260513_011003,3,0,0,SSP,219.00,20,27.49,7.14,71.72,11.30,16.19,0.00,20,2,17
20260513_011003,3,1,1,EV,187.00,20,25.30,7.34,50.88,10.22,15.08,0.00,20,2,17
20260513_011003,3,2,2,EA,180.00,20,24.66,2.06,57.46,9.45,15.21,0.00,20,2,17
20260513_011003,4,0,0,SSP,140.50,20,25.60,5.07,53.03,9.12,16.48,0.00,20,2,17
20260513_011003,4,1,1,EV,129.50,20,23.98,6.76,45.24,8.68,15.30,0.00,20,2,17
20260513_011003,4,2,2,EA,129.50,20,21.42,2.06,43.26,6.64,14.78,0.00,20,2,17
20260513_011003,5,0,0,SSP,110.50,20,24.49,6.64,51.41,8.87,15.62,0.00,20,2,17
20260513_011003,5,1,1,EV,113.00,20,23.63,7.80,42.58,8.36,15.27,0.00,20,2,17
20260513_011003,5,2,2,EA,130.50,20,23.23,2.06,60.27,7.80,15.43,0.00,20,2,17
20260513_011003,6,0,0,SSP,94.00,20,24.72,8.07,53.76,9.43,15.30,0.00,20,2,17
20260513_011003,6,1,1,EV,102.00,20,23.90,7.72,45.70,8.81,15.08,0.00,20,2,17
20260513_011003,6,2,2,EA,102.50,20,23.19,4.32,50.70,7.57,15.63,0.00,20,2,17
20260513_011003,7,0,0,SSP,81.00,20,24.18,7.82,52.08,8.78,15.41,0.00,20,2,17
20260513_011003,7,1,1,EV,91.00,20,23.56,7.72,51.02,8.20,15.36,0.00,20,2,17
20260513_011003,7,2,2,EA,96.00,20,23.09,3.46,50.38,7.87,15.23,0.00,20,2,17
20260513_011003,8,0,0,SSP,71.50,20,23.67,6.79,52.78,7.99,15.67,0.00,20,2,17
20260513_011003,8,1,1,EV,73.00,20,22.59,7.80,41.31,7.54,15.05,0.00,20,2,17
20260513_011003,8,2,2,EA,104.00,20,24.98,6.02,69.02,9.72,15.26,0.00,20,2,17
20260513_011003,9,0,0,SSP,70.00,20,23.65,8.11,49.61,8.06,15.59,0.00,20,2,17
20260513_011003,9,1,1,EV,81.00,20,23.38,4.38,43.71,7.66,15.72,0.00,20,2,17
20260513_011003,9,2,2,EA,79.00,20,24.22,4.27,52.88,8.69,15.53,0.00,20,2,17
20260513_011003,10,0,0,SSP,76.00,20,24.96,8.67,51.08,9.31,15.66,0.00,20,2,17
20260513_011003,10,1,1,EV,88.50,20,24.54,8.67,59.09,8.99,15.56,0.00,20,2,17
20260513_011003,10,2,2,EA,96.00,20,23.82,1.47,67.72,8.86,14.96,0.00,20,2,17
20260513_011003,1,0,0,SSP,785.50,20,39.25,8.90,73.19,13.34,25.91,0.00,20,3,17
20260513_011003,1,1,1,EV,643.50,20,32.16,9.26,66.08,12.18,19.98,0.00,20,3,17
20260513_011003,1,2,2,EA,637.00,20,31.84,6.15,64.71,11.82,20.01,0.00,20,3,17
20260513_011003,2,0,0,SSP,390.00,20,34.82,7.65,86.30,14.04,20.79,0.00,20,3,17
20260513_011003,2,1,1,EV,344.00,20,31.83,6.40,66.04,12.94,18.88,0.00,20,3,17
20260513_011003,2,2,2,EA,319.50,20,29.18,6.90,64.87,10.30,18.88,0.00,20,3,17
20260513_011003,3,0,0,SSP,258.50,20,32.30,7.84,87.40,13.24,19.06,0.00,20,3,17
20260513_011003,3,1,1,EV,239.50,20,31.51,7.60,62.19,12.36,19.15,0.00,20,3,17
20260513_011003,3,2,2,EA,222.50,20,27.98,2.28,63.01,8.89,19.09,0.00,20,3,17
20260513_011003,4,0,0,SSP,176.00,20,30.83,7.60,67.21,11.42,19.41,0.00,20,3,17
20260513_011003,4,1,1,EV,165.00,20,29.39,8.73,68.32,10.19,19.21,0.00,20,3,17
20260513_011003,4,2,2,EA,157.50,20,26.28,1.96,60.19,7.33,18.94,0.00,20,3,17
20260513_011003,5,0,0,SSP,134.50,20,29.85,7.34,64.62,11.34,18.51,0.00,20,3,17
20260513_011003,5,1,1,EV,149.00,20,28.57,8.76,63.58,9.40,19.17,0.00,20,3,17
20260513_011003,5,2,2,EA,166.00,20,28.29,1.96,85.37,9.27,19.02,0.00,20,3,17
20260513_011003,6,0,0,SSP,116.50,20,30.34,8.99,66.47,11.66,18.68,0.00,20,3,17
20260513_011003,6,1,1,EV,123.50,20,29.35,8.71,64.94,10.73,18.62,0.00,20,3,17
20260513_011003,6,2,2,EA,137.00,20,28.75,4.80,68.29,9.41,19.34,0.00,20,3,17
20260513_011003,7,0,0,SSP,111.50,20,29.53,8.71,68.25,10.96,18.57,0.00,20,3,17
20260513_011003,7,1,1,EV,112.50,20,29.83,8.46,74.58,10.20,19.63,0.00,20,3,17
20260513_011003,7,2,2,EA,123.00,20,27.45,3.89,73.02,7.84,19.62,0.00,20,3,17
20260513_011003,8,0,0,SSP,84.50,20,27.91,7.60,66.87,9.61,18.30,0.00,20,3,17
20260513_011003,8,1,1,EV,104.00,20,28.09,7.60,54.25,8.96,19.13,0.00,20,3,17
20260513_011003,8,2,2,EA,112.00,20,29.57,6.38,73.56,10.38,19.19,0.00,20,3,17
20260513_011003,9,0,0,SSP,79.50,20,28.70,7.60,67.30,10.23,18.48,0.00,20,3,17
20260513_011003,9,1,1,EV,128.50,20,30.69,7.88,84.75,10.93,19.76,0.00,20,3,17
20260513_011003,9,2,2,EA,101.50,20,31.54,4.74,64.83,12.10,19.44,0.00,20,3,17
