runId,numRobots,phase,effectiveMode,modeName,makespan,totalDeliveries,avgTaskSec,minTaskSec,maxTaskSec,avgToPickupSec,avgDeliveryLegSec,avgReturnSec,numOrders,crowdednessLevel,randomSeed
20260513_223801,8,2,2,EA,107.00,20,31.86,12.02,82.08,10.38,21.49,0.00,20,4,1031
20260513_223801,9,0,0,SSP,159.50,20,51.09,3.26,117.15,16.43,34.66,0.00,20,4,1031
20260513_223801,9,1,1,EV,132.50,20,35.71,2.84,84.84,14.48,21.24,0.00,20,4,1031
20260513_223801,9,2,2,EA,128.50,20,35.23,9.53,82.58,13.65,21.58,0.00,20,4,1031
20260513_223801,10,0,0,SSP,123.00,20,50.56,5.66,122.65,15.43,35.13,0.00,20,4,1031
20260513_223801,10,1,1,EV,129.00,20,33.83,5.66,92.45,11.80,22.03,0.00,20,4,1031
20260513_223801,10,2,2,EA,91.00,20,32.83,5.66,82.95,11.71,21.12,0.00,20,4,1031
20260513_223801,1,0,0,SSP,1195.50,20,59.77,24.81,122.49,19.57,40.20,0.00,20,5,1031
20260513_223801,1,1,1,EV,992.50,20,49.61,16.80,123.70,18.80,30.81,0.00,20,5,1031
20260513_223801,1,2,2,EA,912.00,20,45.58,16.56,168.20,17.39,28.19,0.00,20,5,1031
20260513_223801,2,0,0,SSP,606.50,20,59.44,16.00,153.60,17.90,41.54,0.00,20,5,1031
20260513_223801,2,1,1,EV,494.50,20,44.78,14.17,127.84,16.82,27.96,0.00,20,5,1031
20260513_223801,2,2,2,EA,528.00,20,48.67,11.68,141.15,21.24,27.43,0.00,20,5,1031
20260513_223801,3,0,0,SSP,400.50,20,57.50,3.12,145.82,16.69,40.82,0.00,20,5,1031
20260513_223801,3,1,1,EV,321.50,20,43.82,4.40,123.37,15.95,27.86,0.00,20,5,1031
20260513_223801,3,2,2,EA,303.50,20,42.80,3.12,144.46,15.58,27.22,0.00,20,5,1031
20260513_223801,4,0,0,SSP,318.50,20,59.97,3.12,171.31,17.49,42.48,0.00,20,5,1031
20260513_223801,4,1,1,EV,262.50,20,42.18,3.97,137.88,15.29,26.89,0.00,20,5,1031
20260513_223801,4,2,2,EA,234.00,20,39.46,3.55,128.52,11.69,27.78,0.00,20,5,1031
20260513_223801,5,0,0,SSP,286.50,20,60.21,3.12,151.20,15.89,44.32,0.00,20,5,1031
20260513_223801,5,1,1,EV,226.00,20,42.41,3.12,128.41,15.10,27.30,0.00,20,5,1031
20260513_223801,5,2,2,EA,213.50,20,40.84,7.73,121.75,12.63,28.20,0.00,20,5,1031
20260513_223801,6,0,0,SSP,254.50,20,59.62,3.12,163.52,16.12,43.49,0.00,20,5,1031
20260513_223801,6,1,1,EV,209.50,20,43.01,3.12,139.52,15.44,27.57,0.00,20,5,1031
20260513_223801,6,2,2,EA,179.50,20,42.43,7.73,122.97,15.10,27.33,0.00,20,5,1031
20260513_223801,7,0,0,SSP,269.50,20,62.04,3.12,159.01,17.80,44.23,0.00,20,5,1031
20260513_223801,7,1,1,EV,183.50,20,41.09,3.12,125.38,13.85,27.24,0.00,20,5,1031
20260513_223801,7,2,2,EA,165.00,20,42.09,13.50,128.63,14.25,27.84,0.00,20,5,1031
20260513_223801,8,0,0,SSP,208.00,20,62.05,3.12,148.84,17.57,44.48,0.00,20,5,1031
20260513_223801,8,1,1,EV,181.00,20,42.11,3.12,122.42,14.56,27.55,0.00,20,5,1031
20260513_223801,8,2,2,EA,157.50,20,39.82,15.52,128.13,12.08,27.75,0.00,20,5,1031
20260513_223801,9,0,0,SSP,195.50,20,62.78,3.12,145.30,19.35,43.43,0.00,20,5,1031
20260513_223801,9,1,1,EV,180.50,20,42.96,3.12,127.91,15.62,27.35,0.00,20,5,1031
20260513_223801,9,2,2,EA,143.00,20,41.84,11.06,122.52,14.05,27.78,0.00,20,5,1031
20260513_223801,10,0,0,SSP,190.50,20,65.62,7.79,147.70,21.40,44.22,0.00,20,5,1031
20260513_223801,10,1,1,EV,176.50,20,42.56,7.79,134.37,15.27,27.28,0.00,20,5,1031
20260513_223801,10,2,2,EA,135.50,20,41.13,8.12,127.27,14.02,27.12,0.00,20,5,1031
20260513_223917,1,0,0,SSP,322.00,20,16.10,9.11,28.91,7.57,8.53,0.00,20,1,1297
20260513_223917,1,1,1,EV,320.00,20,16.00,10.06,29.02,7.60,8.40,0.00,20,1,1297
20260513_223917,1,2,2,EA,308.50,20,15.40,4.93,30.54,7.16,8.24,0.00,20,1,1297
20260513_223917,2,0,0,SSP,174.50,20,16.39,8.26,36.84,8.15,8.24,0.00,20,1,1297
20260513_223917,2,1,1,EV,157.50,20,15.73,10.03,30.62,7.46,8.27,0.00,20,1,1297
20260513_223917,2,2,2,EA,159.50,20,15.10,4.96,29.23,7.00,8.10,0.00,20,1,1297
20260513_223917,3,0,0,SSP,117.00,20,15.46,5.56,30.05,7.19,8.27,0.00,20,1,1297
20260513_223917,3,1,1,EV,115.50,20,15.36,5.34,27.91,7.20,8.16,0.00,20,1,1297
20260513_223917,3,2,2,EA,102.50,20,14.25,4.61,25.60,6.27,7.98,0.00,20,1,1297
20260513_223917,4,0,0,SSP,88.00,20,16.13,4.75,29.76,7.12,9.01,0.00,20,1,1297
20260513_223917,4,1,1,EV,86.00,20,15.41,4.75,28.62,7.06,8.35,0.00,20,1,1297
20260513_223917,4,2,2,EA,84.50,20,14.95,4.61,25.83,6.66,8.29,0.00,20,1,1297
20260513_223917,5,0,0,SSP,75.50,20,16.04,5.26,28.27,7.37,8.67,0.00,20,1,1297
20260513_223917,5,1,1,EV,70.50,20,15.33,5.26,26.81,7.11,8.22,0.00,20,1,1297
20260513_223917,5,2,2,EA,71.00,20,15.07,4.61,26.98,7.01,8.06,0.00,20,1,1297
